@relation dataset

@attribute Alumno {EIS1,EIS2,EIS3,EIS4,EIS5,EIS6,EIS7,EIS8,EIS9,EIS10,EIS11,EIS12,EIS13,EIS14,EIS15,EIS16,EIS17,EIS18,EIS19,EIS20,EIS21,EIS22,EIS23,EIS24,EIS25,EIS26,EIS27,EIS28,EIS29,EIS30,EIS31,EIS32,EIS33,EIS34,EIS35,EIS36,EIS37,EIS38,EIS39,EIS40,EIS41,EIS42,EIS43,EIS44,EIS45,EIS46,EIS47,EIS48,EIS49,EIS50,EIS51,EIS52,EIS53,EIS54,EIS55,EIS56,EIS57,EIS58,EIS59,EIS60,EIS61,EIS62,EIS63,EIS64,EIS65,EIS66,EIS67,EIS68,EIS69,EIS70,EIS71,EIS72,EIS73,EIS74,EIS75,EIS76,EIS77,EIS78,EIS79,EIS80,EIS81,EIS82,EIS83,EIS84,EIS85,EIS86,EIS87,EIS88,EIS89,EIS90,EIS91,EIS92,EIS93,EIS94,EIS95,EIS96,EIS97,EIS98,EIS99,EIS100,EIS101,EIS102,EIS103,EIS104,EIS105,EIS106,EIS107,EIS108,EIS109,EIS110,EIS111,EIS112,EIS113,EIS114,EIS115,EIS116,EIS117,EIS118,EIS119,EIS120,EIS121,EIS122,EIS123,EIS124,EIS125,EIS126,EIS127,EIS128,EIS129,EIS130,EIS131,EIS132,EIS133,EIS134,EIS135,EIS136,EIS137,EIS138,EIS139,EIS140,EIS141,EIS142,EIS143,EIS144,EIS145,EIS146,EIS147,EIS148,EIS149,EIS150,EIS151,EIS152,EIS153,EIS154,EIS155,EIS156,EIS157,EIS158,EIS159,EIS160,EIS161,EIS162,EIS163,EIS164,EIS165,EIS166,EIS167,EIS168,EIS169,EIS170,EIS171,EIS172,EIS173,EIS174,EIS175,EIS176,EIS177,EIS178,EIS179,EIS180,EIS181,EIS182,EIS183,EIS184,EIS185,EIS186,EIS187,EIS188,EIS189,EIS190,EIS191,EIS192,EIS193,EIS194,EIS195,EIS196,EIS197,EIS198,EIS199,EIS200,EIS201,EIS202,EIS203,EIS204,EIS205,EIS206,EIS207,EIS208,EIS209,EIS210,EIS211,EIS212,EIS213,EIS214,EIS215,EIS216,EIS217,EIS218,EIS219,EIS220,EIS221,EIS222,EIS223,EIS224,EIS225,EIS226,EIS227,EIS228,EIS229,EIS230,EIS231,EIS232,EIS233,EIS234,EIS235,EIS236,EIS237,EIS238,EIS239,EIS240,EIS241,EIS242,EIS243,EIS244,EIS245,EIS246,EIS247,EIS248,EIS249,EIS250,EIS251,EIS252,EIS253,EIS254,EIS255,EIS256,EIS257,EIS258,EIS259,EIS260,EIS261,EIS262,EIS263,EIS264,EIS265,EIS266,EIS267,EIS268,EIS269,EIS270,EIS271,EIS272,EIS273,EIS274,EIS275,EIS276,EIS277,EIS278,EIS279,EIS280,EIS281,EIS282}
@attribute Edad numeric
@attribute Genero {F,M}
@attribute Lugar {Pinas,Loja,Huaquillas,Vilcabamba,Espindola,Alicante-Espana,Catacocha,Cariamanga,Madrid-Espana,Cuenca,Orianga,Zamora,Sucumbios,Nambacola,Ibarra,Catamayo,Machala,Sozoranga,Celen-Saraguro,Saraguro,'Gran Elizalde','San Lucas',Macara,Pillaro,Amaluza,Zapotillo,Balsas,Armenia-Colombia,Taquil,Pichincha,'El Oro',Quito,Yantzaza,Chaquinal,Olmedo,'Santo Domingo',Gonzanamá,Zaruma,'Santa Rosa',Celica,'Nueva Loja',Marcabeli,Gonzanama,Portovelo,'Santa Elena'}
@attribute Ciclo {1,2,3,4,5,6,7,8,9,10}
@attribute Paralelo {A,B,C}
@attribute CI numeric
@attribute IMA {0,1,2}
@attribute IMB {0,1,2}
@attribute IMC {0,1,2}
@attribute IMD {0,1,2}
@attribute IME {0,1,2}
@attribute IMF {0,1,2}
@attribute IMG {0,1,2}
@attribute IEA {Adecuado,Excelente,Mejorar}
@attribute IEC {Excelente,Mejorar,Adecuado}
@attribute IER {Excelente,Mejorar,Adecuado,}
@attribute EAAR {13AAR,57AAR,13BAR,57BAR,911BAR,911AAR}
@attribute EASI {57ASI,13ASI,13BSI,911ASI,57BSI,911BSI}
@attribute EAVV {57AVV,13BVV,911AVV,13AVV,911AAR,57BVV}
@attribute EASG {13ASG,911ASG,13BSG,57ASG,57BSG,911BSG}

@data
EIS1,25,F,Pinas,1,A,93,0,0,0,1,0,2,1,Adecuado,Excelente,Excelente,13AAR,57ASI,57AVV,13ASG
EIS2,21,M,Loja,1,A,135,1,1,0,0,2,1,0,Excelente,Mejorar,Mejorar,57AAR,13ASI,13BVV,13ASG
EIS3,21,M,Loja,1,A,110,0,0,0,0,2,0,0,Adecuado,Adecuado,Adecuado,13BAR,57ASI,911AVV,911ASG
EIS4,17,M,Huaquillas,1,A,104,0,0,0,0,0,0,0,Mejorar,Mejorar,Mejorar,57BAR,13BSI,13AVV,13BSG
EIS5,18,M,Loja,1,A,107,1,1,0,0,2,0,1,Mejorar,Mejorar,Mejorar,13BAR,13ASI,13BVV,13BSG
EIS6,19,M,Vilcabamba,1,A,101,0,0,1,1,2,2,2,Excelente,Adecuado,Adecuado,13AAR,57ASI,13BVV,13BSG
EIS7,19,M,Espindola,1,A,110,0,0,1,0,0,1,0,Mejorar,Mejorar,Adecuado,57BAR,13BSI,911AVV,13BSG
EIS8,20,M,Loja,1,A,107,0,2,0,0,0,0,0,Adecuado,Adecuado,Adecuado,911BAR,13BSI,13AVV,57ASG
EIS9,18,F,Loja,1,A,105,0,0,0,0,1,1,0,Adecuado,Adecuado,Adecuado,57AAR,13ASI,13BVV,57ASG
EIS10,16,F,Alicante-Espana,1,A,118,0,2,0,0,2,0,2,Adecuado,Adecuado,Adecuado,57AAR,13BSI,57AVV,13BSG
EIS11,18,M,Loja,1,B,100,0,0,0,1,0,1,1,Mejorar,Mejorar,Adecuado,13AAR,13ASI,13BVV,13BSG
EIS12,20,M,Catacocha,1,B,98,0,0,1,0,1,2,0,Mejorar,Adecuado,Mejorar,13AAR,57ASI,57AVV,13BSG
EIS13,17,M,Cariamanga,1,B,108,0,0,1,0,0,1,0,Adecuado,Mejorar,Adecuado,13AAR,13ASI,57AVV,13BSG
EIS14,18,M,Loja,1,B,97,1,0,1,0,0,1,1,Adecuado,Excelente,Adecuado,13AAR,13ASI,911AVV,57ASG
EIS15,19,M,Madrid-Espana,1,B,112,0,2,2,0,0,0,0,Mejorar,Adecuado,Adecuado,13AAR,57ASI,13AVV,13ASG
EIS16,18,F,Cuenca,1,B,122,0,1,0,0,1,1,0,Mejorar,Mejorar,Excelente,13BAR,13ASI,911AVV,57ASG
EIS17,17,M,Orianga,1,B,110,0,2,0,0,0,2,0,Mejorar,Adecuado,Adecuado,13AAR,57ASI,57AVV,13ASG
EIS18,19,M,Zamora,1,B,104,0,2,0,0,1,0,2,Mejorar,Mejorar,Mejorar,13AAR,13ASI,57AVV,13ASG
EIS19,21,M,Loja,1,B,98,0,0,1,0,0,2,1,Mejorar,Mejorar,Mejorar,57AAR,13BSI,13AVV,13BSG
EIS20,18,M,Loja,1,B,107,0,1,0,0,0,2,0,Adecuado,Mejorar,Adecuado,13AAR,13ASI,13AVV,57ASG
EIS21,24,M,Sucumbios,1,B,103,0,0,0,0,0,0,0,Excelente,Adecuado,Adecuado,57AAR,57ASI,13BVV,57ASG
EIS22,19,F,Nambacola,1,B,96,0,2,2,0,0,2,1,Excelente,Excelente,Adecuado,57AAR,911ASI,57AVV,13ASG
EIS23,20,M,Zamora,1,B,113,0,0,0,1,0,0,0,Mejorar,Mejorar,Mejorar,13AAR,57ASI,911AVV,57ASG
EIS24,18,M,Loja,1,B,97,1,0,0,0,1,2,2,Adecuado,Adecuado,Adecuado,57AAR,13BSI,13AVV,13ASG
EIS25,19,M,Ibarra,1,B,100,0,2,0,1,1,2,2,Excelente,Excelente,Excelente,13AAR,13BSI,57AVV,911ASG
EIS26,18,M,Loja,1,A,122,0,1,1,0,0,0,0,Mejorar,Mejorar,Adecuado,13BAR,13BSI,13BVV,57ASG
EIS27,18,F,Loja,1,B,100,0,1,0,0,2,2,2,Mejorar,Mejorar,Adecuado,13AAR,13BSI,57AVV,13BSG
EIS28,19,M,Loja,1,A,110,0,0,0,0,2,0,0,Adecuado,Mejorar,Mejorar,13BAR,13BSI,911AVV,13BSG
EIS29,19,M,Loja,1,B,118,0,0,0,0,2,0,0,Mejorar,Mejorar,Adecuado,13AAR,57ASI,13AVV,13ASG
EIS30,17,M,Loja,1,A,130,0,1,0,0,0,1,2,Mejorar,Mejorar,Mejorar,13BAR,13ASI,13AVV,13ASG
